#
#
# US Geological Survey
# retrieved: 2014-08-22 13:51:14 EDT
# URL: http://nwis.waterdata.usgs.gov/nwis/dv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  drain_area_va   -- Drainage area
#
#
# query started 2014-08-22 13:51:14 EDT
#
# there are 598 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	drain_area_va
USGS	04026390	BEARTRAP CREEK AT U.S. HIGHWAY 2 NEAR ASHLAND, WI	ST	46.60916667	-90.76027780	S	NAD83	22.6
USGS	04026450	BAD RIVER NEAR MELLEN, WI	ST	46.27055556	-90.70722220	S	NAD83	82
USGS	04026500	BAD RIVER AT MELLEN, WI	ST	46.32495040	-90.65990540	S	NAD83	105.00
USGS	04026561	TYLER FORKS RIVER AT STRICKER ROAD NEAR MELLEN, WI	ST	46.39472220	-90.59000000	S	NAD83	70.5
USGS	04026870	ALDER CREEK NEAR UPSON, WI	ST	46.38578206	-90.40851290	S	NAD83	22.30
USGS	04027000	BAD RIVER NEAR ODANAH, WI	ST	46.48661440	-90.69629700	S	NAD83	597
USGS	04027496	WHITE RIVER NEAR SANBORN, WI	ST	46.49244720	-90.93491240	S	NAD83	
USGS	04027500	WHITE RIVER NEAR ASHLAND, WI	ST	46.49833330	-90.90305560	S	NAD83	301
USGS	04028000	MONTREAL RIVER AT IRONWOOD, MI	ST	46.44994760	-90.17795270	T	NAD83	61.4
USGS	04028500	MONTREAL RIVER NEAR KIMBALL, WI	ST	46.50494738	-90.27184419	S	NAD83	98.60
USGS	04029000	WEST BRANCH MONTREAL RIVER AT GILE, WI	ST	46.42633660	-90.22656480	F	NAD83	78.00
USGS	04029500	WEST BRANCH MONTREAL RIVER NEAR KIMBALL, WI	ST	46.50244740	-90.27517760	S	NAD83	96.00
USGS	04029990	MONTREAL RIVER AT SAXON FALLS NEAR SAXON, WI	ST	46.53689125	-90.37990170	S	NAD83	262
USGS	04062011	BRULE RIVER NEAR COMMONWEALTH, WI	ST	45.94745319	-88.21541060	5	NAD83	1020
USGS	04063000	MENOMINEE RIVER NEAR FLORENCE, WI	ST	45.95134190	-88.18929930	M	NAD83	1760
USGS	04063640	N BR PINE RIVER AT WINDSOR DAM NEAR ALVIN, WI	ST	45.92856929	-88.86068120	S	NAD83	27.8
USGS	04063700	POPPLE RIVER NEAR FENCE, WI	ST	45.76361110	-88.46361110	S	NAD83	139
USGS	04064000	PINE RIVER NEAR FLORENCE, WI	ST	45.83884480	-88.33901720	T	NAD83	510.00
USGS	04064500	PINE RIVER BELOW PINE R POWERPLANT NR FLORENCE, WI	ST	45.83722220	-88.22527780	S	NAD83	533
USGS	04065106	MENOMINEE RIVER AT NIAGARA, WI	ST	45.76777778	-87.98055560	S	NAD83	2470
USGS	04066000	MENOMINEE RIVER NEAR PEMBINE, WI	ST	45.59885399	-87.77567520	S	NAD83	3110.00
USGS	04066500	PIKE RIVER AT AMBERG, WI	ST	45.50000000	-88.00000000	S	NAD83	255
USGS	04067500	MENOMINEE RIVER NEAR MC ALLISTER, WI	ST	45.32583330	-87.66333330	S	NAD83	3930
USGS	04067651	MENOMINEE RIVER AT MOUTH AT MARINETTE, WI	ST	45.09388889	-87.59361110	S	NAD83	4070
USGS	04067958	PESHTIGO RIVER NEAR WABENO, WI	ST	45.38774406	-88.30510990	S	NAD83	447
USGS	04068000	PESHTIGO RIVER AT HIGH FALLS NEAR CRIVITZ, WI	ST	45.27972220	-88.19944440	S	NAD83	537
USGS	04069416	PESHTIGO RIVER AT PORTERFIELD, WI	ST	45.14333330	-87.80055560	S	NAD83	1020
USGS	04069500	PESHTIGO RIVER AT PESHTIGO, WI	ST	45.04750000	-87.74444440	S	NAD83	1080
USGS	04069530	PESHTIGO RIVER AT MOUTH NEAR PESHTIGO, WI	ST	44.97304520	-87.65510350	S	NAD83	1100
USGS	04071000	OCONTO RIVER NEAR GILLETT, WI	ST	44.86500000	-88.30000000	S	NAD83	705
USGS	04071765	OCONTO RIVER NEAR OCONTO, WI	ST	44.86055556	-87.98388889	S	NAD83	966
USGS	04071775	OCONTO RIVER AT MOUTH AT OCONTO, WI	ST	44.89527778	-87.83027780	S	NAD83	982
USGS	04071795	PENSAUKEE RIVER NEAR KRAKOW, WI	ST	44.75249480	-88.27649100	S	NAD83	35.8
USGS	04071858	PENSAUKEE RIVER NEAR PENSAUKEE, WI	ST	44.81888889	-87.95444440	S	NAD83	134
USGS	04072000	SUAMICO RIVER AT SUAMICO, WI	ST	44.63193690	-88.06677050	F	NAD83	60.70
USGS	04072150	DUCK CREEK NEAR HOWARD, WI	ST	44.53338889	-88.12969440	S	NAD83	108
USGS	04072220	BEAVER DAM CREEK AT GREEN BAY, WI	ST	44.52776940	-88.07760360	S	NAD83	3.44
USGS	04072410	FOX RIVER NEAR PARDEEVILLE, WI	ST	43.56998268	-89.26845030	S	NAD83	48.4
USGS	04072750	LAWRENCE CREEK NEAR WESTFIELD, WI	ST	43.89775290	-89.57873470	S	NAD83	13.40
USGS	04072845	MONTELLO RIVER NEAR MONTELLO, WI	ST	43.82111110	-89.36527780	S	NAD83	130
USGS	04073050	GRAND RIVER NEAR KINGSTON, WI	ST	43.68581547	-89.08594720	S	NAD83	73.50
USGS	04073365	FOX RIVER AT PRINCETON, WI	ST	43.85111110	-89.13333330	S	NAD83	962
USGS	04073405	WEST BRANCH WHITE RIVER NEAR WAUTOMA, WI	ST	44.04858840	-89.29456400	F	NAD83	38.90
USGS	04073458	ROY CREEK AT ROY CREEK ROAD NEAR GREEN LAKE, WI	ST	43.76583330	-89.02027780	S	NAD83	5.3
USGS	040734605	GREEN LAKE SW INLET @ CT HIGHWY K NR GREEN LAKE,WI	ST	43.77711110	-89.05686110	5	NAD83	15.7
USGS	04073462	WHITE CREEK AT SPRING GROVE ROAD NR GREEN LAKE, WI	ST	43.81611110	-88.92833330	S	NAD83	3.05
USGS	040734644	SILVER CREEK AT SOUTH KORO ROAD NEAR RIPON, WI	ST	43.85831557	-88.87150100	S	NAD83	36.2
USGS	04073466	SILVER CREEK AT SPAULDING ROAD NEAR GREEN LAKE, WI	ST	43.83972220	-88.90833330	S	NAD83	45.1
USGS	04073468	GREEN LAKE INLET AT CT HIGHWAY A NR GREEN LAKE, WI	ST	43.82444444	-88.92666670	S	NAD83	53.5
USGS	04073473	PUCHYAN RIVER DS N. LAWSON DRIVE NR GREEN LAKE, WI	ST	43.85750000	-88.94638890	S	NAD83	105
USGS	04073500	FOX RIVER AT BERLIN, WI	ST	43.95388889	-88.95250000	S	NAD83	1340
USGS	04073970	WAUKAU CREEK NEAR OMRO, WI	ST	44.01894444	-88.78544440	1	NAD83	88
USGS	04074538	SWAMP CREEK ABOVE RICE LAKE AT MOLE LAKE, WI	ST	45.48829647	-88.96372490	S	NAD83	46.3
USGS	04074548	SWAMP CREEK BELOW RICE LAKE AT MOLE LAKE, WI	ST	45.47940720	-88.99789210	S	NAD83	56.8
USGS	04074950	WOLF RIVER AT LANGLADE, WI	ST	45.18997026	-88.73343980	S	NAD83	463
USGS	04075000	WOLF RIVER NEAR WHITE LAKE, WI	ST	45.13330656	-88.68982830	S	NAD83	485.00
USGS	04075200	EVERGREEN CREEK NEAR LANGLADE, WI	ST	45.16969225	-88.80344070	S	NAD83	8.09
USGS	04075365	EVERGREEN RIVER BLW EVERGREEN FALLS NR LANGLADE,WI	ST	45.06580980	-88.67621690	S	NAD83	64.5
USGS	04075500	WOLF R ABOVE WEST BR WOLF R NEAR KESHENA, WI	ST	44.93609200	-88.65427150	S	NAD83	616.00
USGS	04076000	WEST BRANCH WOLF RIVER AT NEOPIT, WI	ST	44.98108560	-88.82927350	S	NAD83	93.20
USGS	04076500	WEST BRANCH WOLF RIVER NEAR KESHENA, WI	ST	44.93553580	-88.67038270	S	NAD83	163.00
USGS	04077000	WOLF RIVER AT KESHENA FALLS NEAR KESHENA, WI	ST	44.89109240	-88.65510429	S	NAD83	788
USGS	04077400	WOLF RIVER NEAR SHAWANO, WI	ST	44.83581639	-88.62510350	S	NAD83	816.00
USGS	04077630	RED RIVER AT MORGAN ROAD NEAR MORGAN, WI	ST	44.89803110	-88.84427290	S	NAD83	114
USGS	0407809265	MIDDLE BRANCH EMBARRASS RIVER NEAR WITTENBERG, WI	ST	44.82525120	-89.11816680	S	NAD83	76.3
USGS	04078500	EMBARRASS RIVER NEAR EMBARRASS, WI	ST	44.72472220	-88.73611110	S	NAD83	384
USGS	04079000	WOLF RIVER AT NEW LONDON, WI	ST	44.39220260	-88.74038120	S	NAD83	2260
USGS	04079602	LITTLE WOLF RIVER NEAR GALLOWAY, WI	ST	44.69080685	-89.26428080	S	NAD83	22.60
USGS	04079700	SPAULDING CREEK NEAR BIG FALLS, WI	ST	44.63692308	-89.02233130	S	NAD83	5.57
USGS	04080000	LITTLE WOLF RIVER AT ROYALTON, WI	ST	44.41248060	-88.86538420	S	NAD83	507
USGS	04080798	TOMORROW RIVER NEAR NELSONVILLE, WI	ST	44.52444440	-89.33777780	S	NAD83	44
USGS	04080950	EMMONS CREEK NEAR RURAL, WI	ST	44.31525510	-89.19289280	S	NAD83	25.10
USGS	04080981	Stormsewer at Mirror L at Well no.3,Waupaca, WI	ST	44.35136816	-89.08177989	S	NAD83	0.005
USGS	04080983	TRIBUTARY TO SHADOW LAKE AT WAUPACA, WI	ST	44.35055556	-89.08722220	S	NAD83	0.17
USGS	04081000	WAUPACA RIVER NEAR WAUPACA, WI	ST	44.32914727	-88.99594600	S	NAD83	265
USGS	04081800	DAGGETS CREEK NEAR BUTTE DE MORTS, WI	ST	44.09748330	-88.62122250	S	NAD83	10.60
USGS	04082400	FOX RIVER AT OSHKOSH, WI	ST	44.01359500	-88.54094720	S	NAD83	5310
USGS	04083000	WEST BR FOND DU LAC R AT FOND DU LAC, WI	ST	43.76248880	-88.48344050	F	NAD83	83.10
USGS	04083420	PARSONS CREEK UPSTREAM SITE NEAR FOND DU LAC, WI	ST	43.69332380	-88.47204950	S	NAD83	5.3
USGS	04083423	PARSONS CREEK MIDDLE SITE NEAR FOND DU LAC, WI	ST	43.69637928	-88.47482750	S	NAD83	5.6
USGS	04083425	PARSONS CREEK DOWNSTREAM SITE NEAR FOND DU LAC, WI	ST	43.69721258	-88.47538300	S	NAD83	5.7
USGS	04083500	EAST BRANCH FOND DU LAC RIVER AT FOND DU LAC, WI	ST	43.75415609	-88.45288390	F	NAD83	78.40
USGS	04083545	FOND DU LAC RIVER @ W. ARNDT ST. AT FOND DU LAC,WI	ST	43.78638889	-88.45894440	1	NAD83	168
USGS	04084200	BROTHERTOWN CREEK AT BROTHERTOWN, WI	ST	43.97137865	-88.30982780	S	NAD83	5.10
USGS	040844152	TRIBUTARY TO FOX RIVER TRIB US CTH JJ NR NEENAH,WI	ST	44.16877778	-88.51861110	1	NAD83	.131
USGS	040844153	TRIBUTARY TO FOX RIVER TRIB. @ CTH JJ NR NEENAH,WI	ST	44.16527778	-88.51611110	S	NAD83	.32
USGS	040844215	LITTLE LAKE BUTTE DES MORTS TRIBUTARY AT NEENAH,WI	ST	44.19916667	-88.47694440	S	NAD83	3.03
USGS	04084445	FOX RIVER AT APPLETON, WI	ST	44.24805556	-88.42305560	S	NAD83	5950
USGS	04084475	FOX RIVER AT STATE HIGHWAY 55 AT KAUKAUNA, WI	ST	44.28054316	-88.26871700	S	NAD83	5980
USGS	04084500	FOX R AT RAPIDE CROCHE DAM NEAR WRIGHTSTOWN, WI	ST	44.31748890	-88.19732630	S	NAD83	6010
USGS	04084911	PLUM CREEK NEAR WRIGHTSTOWN, WI	ST	44.30554490	-88.17121460	S	NAD83	21.2
USGS	04085046	APPLE CREEK AT SNIDERVILLE, WI	ST	44.35498916	-88.19121490	S	NAD83	45.8
USGS	04085054	FOX RIVER AT LITTLE RAPIDS, WI	ST	44.37915709	-88.12371380	S	NAD83	6100
USGS	04085059	FOX RIVER AT DE PERE, WI	ST	44.44943598	-88.06454730	S	NAD83	6110
USGS	04085068	ASHWAUBENON CREEK NEAR LITTLE RAPIDS, WI	ST	44.41415710	-88.12704740	S	NAD83	19.9
USGS	04085108	EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI	ST	44.37194444	-88.09222220	S	NAD83	44.8
USGS	04085109	EAST RIVER AT MIDWAY ROAD NEAR DE PERE, WI	ST	44.38665786	-88.07982440	S	NAD83	47
USGS	04085118	BOWER CREEK AT SUNNYVIEW ROAD NEAR DE PERE, WI	ST	44.40777086	-87.93871000	S	NAD83	4.82
USGS	04085119	BOWER CREEK @ COUNTY TRNK HIGHWAY MM NR DE PERE,WI	ST	44.42249308	-87.94009940	S	NAD83	14.8
USGS	040851325	BAIRD CREEK AT SUPERIOR ROAD AT GREEN BAY, WI	ST	44.50110420	-87.93621210	S	NAD83	20.78
USGS	040851378	EAST RIVER AT MONROE STREET AT GREEN BAY, WI	ST	44.51721470	-88.00677060	S	NAD83	144.9
USGS	040851385	FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI	ST	44.52861110	-88.01000000	S	NAD83	6330
USGS	04085200	KEWAUNEE RIVER NEAR KEWAUNEE, WI	ST	44.45833125	-87.55647460	S	NAD83	127
USGS	04085281	EAST TWIN RIVER AT MISHICOT, WI	ST	44.23777309	-87.63647250	S	NAD83	110.00
USGS	04085330	WEST TWIN RIVER NEAR FRANCIS CREEK, WI	ST	44.21499490	-87.68064080	S	NAD83	150
USGS	04085395	SOUTH BRANCH MANITOWOC RIVER AT HAYTON, WI	ST	44.02471398	-88.11815480	S	NAD83	109
USGS	04085425	BRANCH RIVER NEAR BRANCH, WI	ST	44.13471630	-87.76536560	F	NAD83	106.00
USGS	04085427	MANITOWOC RIVER AT MANITOWOC, WI	ST	44.10722220	-87.71527780	S	NAD83	526
USGS	0408543802	PINE CREEK AT NEWTON, WI	ST	44.00388300	-87.72203000	S	NAD83	6.2
USGS	040854555	MEEME RIVER AT SOUTH CLEVELAND RD NR CLEVELAND, WI	ST	43.90638286	-87.80786610	S	NAD83	19.97
USGS	040854592	FISHER CREEK AT HOWARDS GROVE, WI	ST	43.82500000	-87.83333330	S	NAD83	10.8
USGS	04085463	PIGEON RIVER AT EVERGREEN PARK AT SHEBOYGAN, WI	ST	43.77860575	-87.74897530	S	NAD83	
USGS	04085480	SHEBOYGAN RIVER NEAR FOND DU LAC, WI	ST	43.80915880	-88.25121220	S	NAD83	27.40
USGS	04085492	ELKHART LAKE OUTLET NEAR ELKHART LAKE, WI	ST	43.83027126	-88.03704000	S	NAD83	
USGS	0408570038	OTTER CREEK #3A AT CT HIGHWAY J NEAR PLYMOUTH, WI	ST	43.79054970	-87.93342570	S	NAD83	9.1
USGS	0408570047	OTTER CREEK AT LAACK FARM NEAR PLYMOUTH, WI	ST	43.78832750	-87.92898100	S	NAD83	9.16
USGS	040857005	OTTER CREEK AT WILLOW ROAD NEAR PLYMOUTH, WI	ST	43.78888889	-87.92138889	S	NAD83	9.5
USGS	04085746	MULLET RIVER AT OLD WADE HOUSE AT GREENBUSH, WI	ST	43.77750000	-88.08527780	S	NAD83	24.3
USGS	04085813	ONION RIVER AT HINGHAM, WI	ST	43.63832977	-87.89842400	S	NAD83	37.20
USGS	04085845	ONION RIVER NEAR SHEBOYGAN FALLS, WI	ST	43.69666220	-87.82092200	S	NAD83	94.10
USGS	04086000	SHEBOYGAN RIVER AT SHEBOYGAN, WI	ST	43.74138889	-87.75211110	5	NAD83	418
USGS	040860041	SHEBOYGAN RIVER AT MOUTH AT SHEBOYGAN, WI	ST	43.74721738	-87.70925220	S	NAD83	427
USGS	04086110	WEST BRANCH MILWAUKEE RIVER AT CTH F NEAR BYRON,WI	ST	43.66027778	-88.41638889	S	NAD83	2.1
USGS	04086120	WEST BRANCH MILWAUKEE RIVER @ CTH K NEAR LOMIRA,WI	ST	43.62444444	-88.40083330	S	NAD83	11.7
USGS	04086125	WEST BRANCH MILWAUKEE R @ DRUMLIN DR NR LOMIRA, WI	ST	43.61610430	-88.39371250	S	NAD83	13.9
USGS	04086139	WEST BRANCH MILWAUKEE RIVER NEAR KEWASKUM, WI	ST	43.54444444	-88.24555560	S	NAD83	56.6
USGS	04086149	MILWAUKEE RIVER ABOVE DAM AT KEWASKUM, WI	ST	43.52721900	-88.22231840	S	NAD83	138
USGS	04086150	MILWAUKEE RIVER AT KEWASKUM, WI	ST	43.52083330	-88.22194440	S	NAD83	138
USGS	04086152	MILWAUKEE RIVER TRIB @ U.S. HWY 45 AT KEWASKUM, WI	ST	43.51666366	-88.22565160	S	NAD83	11.7
USGS	04086175	PARNELL CREEK NEAR DUNDEE, WI	ST	43.64777275	-88.16009680	S	NAD83	9.35
USGS	04086200	EAST BRANCH MILWAUKEE RIVER AT NEW FANE, WI	ST	43.55027436	-88.18842930	S	NAD83	54.1
USGS	04086250	MILWAUKEE RIVER TRIB @ DECORAH RD AT WEST BEND, WI	ST	43.41222260	-88.14981600	S	NAD83	8.62
USGS	04086265	MILWAUKEE RIVER @ CNTY TRNK HGHWAY M NR NEWBURG,WI	ST	43.42500040	-88.08092610	S	NAD83	260
USGS	04086305	BATAVIA CREEK AT STATE HIGHWAY 28 AT BATAVIA, WI	ST	43.59055226	-88.05064950	S	NAD83	4.9
USGS	040863075	NORTH BRANCH MILWAUKEE RIVER NEAR RANDOM LAKE, WI	ST	43.55694170	-88.05287150	S	NAD83	51.4
USGS	04086340	NORTH BRANCH MILWAUKEE RIVER NEAR FILLMORE, WI	ST	43.48277650	-88.06092640	S	NAD83	148
USGS	04086360	MILWAUKEE RIVER AT WAUBEKA, WI	ST	43.47277720	-87.98981400	S	NAD83	432
USGS	04086443	CEDAR CREEK TRIBUTARY @ CT HIGHWAY P AT JACKSON,WI	ST	43.30778120	-88.18148210	S	NAD83	3.4
USGS	04086487	CEDARBURG BOG NEAR SAUKVILLE, WI	ST	43.40277934	-87.99648000	S	NAD83	0.74
USGS	04086488	MUD LAKE OUTLET CHANNEL NEAR DECKER CORNERS, WI	ST	43.37444666	-88.03564700	S	NAD83	7.36
USGS	04086489	MUD LAKE OUTLET SITE 2 NEAR DECKER CORNERS, WI	ST	43.37444666	-88.03564700	S	NAD83	7.36
USGS	04086500	CEDAR CREEK NEAR CEDARBURG, WI	ST	43.32305556	-87.97861110	S	NAD83	120
USGS	04086600	MILWAUKEE RIVER NEAR CEDARBURG, WI	ST	43.28027778	-87.94250000	S	NAD83	607
USGS	04086941	LINCOLN CREEK AT 54TH ST AT MILWAUKEE, WI	ST	43.09973350	-87.98008740	S	NAD83	
USGS	040869415	LINCOLN CREEK AT 47TH STREET AT MILWAUKEE, WI	ST	43.09695587	-87.97230940	S	NAD83	13.06
USGS	040869416	LINCOLN CREEK @ SHERMAN BOULEVARD AT MILWAUKEE, WI	ST	43.09750000	-87.96694440	S	NAD83	13.48
USGS	04086942	LINCOLN CREEK TRIB AT 47TH ST AT MILWAUKEE, WI	ST	43.09695587	-87.97286490	S	NAD83	
USGS	04087000	MILWAUKEE RIVER AT MILWAUKEE, WI	ST	43.10001159	-87.90897450	S	NAD83	696
USGS	04087010	MILWAUKEE R ABOVE NORTH AVE DAM AT MILWAUKEE, WI	ST	43.05890190	-87.89480689	S	NAD83	702.00
USGS	04087018	MENOMONEE RIVER AT GERMANTOWN, WI	ST	43.22139520	-88.13286940	S	NAD83	19.00
USGS	04087019	JEFFERSON PARK DRAIN AT GERMANTOWN, WI	ST	43.21055556	-88.12111110	S	NAD83	1.82
USGS	04087030	MENOMONEE RIVER AT MENOMONEE FALLS, WI	ST	43.17277778	-88.10388889	S	NAD83	34.7
USGS	04087040	MENOMONEE RIVER AT BUTLER, WI	ST	43.11445460	-88.06592280	S	NAD83	60.64
USGS	04087047	LITTLE MENOMONEE RIVER @ MEQUON RD NR MEQUON, WI	ST	43.22138889	-88.02777780	S	NAD83	2.9
USGS	04087048	LITTLE MENOMONEE CREEK @ GRANVILLE RD NR MEQUON,WI	ST	43.21861110	-88.04333330	S	NAD83	3.1
USGS	04087050	LITTLE MENOMONEE RIVER NEAR FREISTADT, WI	ST	43.20667408	-88.03842310	S	NAD83	8
USGS	04087060	NOYES CREEK AT MILWAUKEE, WI	ST	43.14084299	-88.02508890	S	NAD83	1.94
USGS	04087070	LITTLE MENOMONEE RIVER AT MILWAUKEE, WI	ST	43.12361110	-88.04361110	S	NAD83	19.7
USGS	04087088	UNDERWOOD CREEK AT WAUWATOSA, WI	ST	43.05472220	-88.04611110	S	NAD83	18.1
USGS	04087101	HONEY CREEK AT SOUTH 69th STREET AT MILWAUKEE, WI	ST	42.98251480	-87.99925320	S	NAD83	
USGS	04087113	HONEY CREEK AT SUNSET STREET AT MILWAUKEE, WI	ST	42.98057038	-88.00064200	S	NAD83	
USGS	04087115	HONEY CREEK TRIBUTARY AT WEST ALLIS, WI	ST	43.01862490	-88.00869830	S	NAD83	
USGS	04087119	HONEY CREEK AT WAUWATOSA, WI	ST	43.04375000	-88.00502780	1	NAD83	10.3
USGS	04087120	MENOMONEE RIVER AT WAUWATOSA, WI	ST	43.04555556	-87.99972220	S	NAD83	123
USGS	04087125	SCHOONMAKER CREEK AT WAUWATOSA, WI	ST	43.05027778	-87.98972220	S	NAD83	1.94
USGS	04087133	MENOMONEE RIVER TRIBUTARY AT WEST MILWAUKEE, WI	ST	43.01945840	-87.98230870	S	NAD83	
USGS	04087138	MENOMONEE RIVER AT MILWAUKEE, WI	ST	43.02472220	-87.95944440	S	NAD83	134
USGS	04087140	MENOMONEE RIVER AT FALK CORP AT MILWAUKEE, WI	ST	43.02640270	-87.95397470	S	NAD83	133.82
USGS	04087142	MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI	ST	43.03390256	-87.93425200	S	NAD83	146
USGS	040871472	KINNICKINNIC R @ ST. LUKES HOSPTL @ MILWAUKEE, WI	ST	42.99029265	-87.95314090	S	NAD83	5.4
USGS	040871473	WILSON PARK CREEK AT GMIA INFALL AT MILWAUKEE, WI	ST	42.94500000	-87.88611110	S	NAD83	.89
USGS	040871475	WILSON PARK CREEK @ GMIA OUTFALL #7 @ MILWAUKEE,WI	ST	42.95668228	-87.90702780	S	NAD83	2.25
USGS	040871476	HOLMES AVE CRK TRIB @ GMIA OUTFALL #1 AT MILWAUKEE	ST	42.94444444	-87.91027780	S	NAD83	.03
USGS	040871478	WILSON PARK CREEK AT 6TH ST. AT MILWAUKEE, WI	ST	42.96279324	-87.91869500	S	NAD83	6.1
USGS	040871482	WILSON PK CR @ WILSON PK&20TH PL @ MILWAUKEE, WI	ST	42.97305556	-87.93972220	S	NAD83	
USGS	040871488	WILSON PARK CK @ ST. LUKES HOSPITAL @ MILWAUKEE,WI	ST	42.98972220	-87.95194440	S	NAD83	11.34
USGS	04087159	KINNICKINNIC RIVER @ S. 11TH STREET @ MILWAUKEE,WI	ST	42.99750000	-87.92638889	S	NAD83	18.8
USGS	04087160	KINNICKINNIC RIVER AT MILWAUKEE, WI	ST	42.99668157	-87.92036230	S	NAD83	20.40
USGS	04087170	MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI	ST	43.02444444	-87.89833330	S	NAD83	872
USGS	04087204	OAK CREEK AT SOUTH MILWAUKEE, WI	ST	42.92500000	-87.87000000	S	NAD83	25
USGS	04087214	ROOT RIVER AT GRANGE AVENUE AT GREENFIELD, WI	ST	42.94500000	-88.01416670	S	NAD83	14.7
USGS	04087220	ROOT RIVER NEAR FRANKLIN, WI	ST	42.87361110	-87.99583330	S	NAD83	49.2
USGS	04087233	ROOT RIVER CANAL NEAR FRANKLIN, WI	ST-CA	42.81555556	-87.99472220	S	NAD83	57
USGS	04087240	ROOT RIVER AT RACINE, WI	ST	42.75138889	-87.82361110	S	NAD83	190
USGS	04087242	ROOT RIVER NEAR MOUTH AT RACINE, WI	ST	42.73390860	-87.78451910	5	NAD83	197
USGS	04087257	PIKE RIVER NEAR RACINE, WI	ST	42.64694444	-87.86055560	S	NAD83	38.5
USGS	05331833	NAMEKAGON RIVER AT LEONARDS, WI	ST	46.17134090	-91.32935000	S	NAD83	126
USGS	05332000	NAMEKAGON RIVER AT TREGO, WI	ST	45.90550260	-91.81823230	S	NAD83	460.00
USGS	05332500	NAMEKAGON RIVER NEAR TREGO, WI	ST	45.94800120	-91.88823500	S	NAD83	488
