"ID","cellCount","naCells","yr2008","yr2009","yr2010","yr2011","yr2012","ROTATION","ROTATION_CODE"
21701092,729,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701093,729,0,"Pa","Co","Co","Co","Co","Dairy Rotation",3
21701094,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701101,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701102,729,0,"So","Co","So","Co","So","Cash Grain",1
21701103,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701104,729,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701111,747,0,"Co","Co","Pa","So","Corn;Pasture","Cash Grain",1
21701112,729,0,"Co","Co","So","Pa","Co","Cash Grain",1
21701113,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701114,729,0,"Pa","Pa","Pa","So","Co","Cash Grain",1
21701121,729,0,"Pa","Pa","Co","So","Co","Cash Grain",1
21701122,730,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701123,729,0,"Pa","Pa","Pa","So","Co","Cash Grain",1
21701124,729,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701131,718,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701132,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701133,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701134,718,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701141,729,0,"Pa","Co","Pa","Co","Co","Dairy Rotation",3
21701142,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701143,716,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701144,729,0,"Pa","Pa","Pa","Pa","Al","Pasture/Hay/Grassland",7
21701151,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701152,729,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21701153,729,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701154,712,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21701161,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701162,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701163,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701164,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701171,711,0,"Pa","Co","Pa","Co","So","Cash Grain",1
21701172,692,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701173,717,0,"Pa","Pa","Pa","Al","Co","Dairy Rotation",3
21701174,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701181,729,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21701182,527,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701183,540,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701184,722,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701191,703,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701192,566,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701193,560,0,"Pa","Pa","So","Co","Co","Cash Grain",1
21701194,720,0,"Pa","Pa","Co","Co","Pa","Dairy Rotation",3
21701201,712,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701202,719,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701203,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701204,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701211,728,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701212,720,0,"Pa","Pa","Pa","Co","Al","Dairy Rotation",3
21701213,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701214,702,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701221,726,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701222,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701223,718,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21701224,722,0,"Pa","Pa","Co","So","Co","Cash Grain",1
21701231,702,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21701232,715,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701233,729,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701234,729,0,"Pa","Pa","Pa","Co","So","Cash Grain",1
21701241,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701242,726,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701243,707,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701244,729,0,"Pa","Pa","Co","Pa","Co","Dairy Rotation",3
21701251,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701252,737,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701253,746,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701254,729,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21701261,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701262,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701263,729,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21701264,748,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701271,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701272,687,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701273,723,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701274,708,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701281,707,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701282,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701283,702,0,"Pa","Pa","Al","Al","Pa","Pasture/Hay/Grassland",7
21701284,724,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701291,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701292,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701293,727,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701294,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701301,729,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701302,553,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701303,546,0,"Pa","Pa","Al","Al","Al","Pasture/Hay/Grassland",7
21701304,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701311,729,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701312,540,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701313,552,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701314,720,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701321,704,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701322,729,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701323,729,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701324,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701331,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701332,739,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701333,719,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701334,756,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701341,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701342,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701343,756,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701344,749,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701351,735,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701352,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701353,736,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701354,715,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701361,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701362,729,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701363,724,0,"Pa","So","Pa","Pa","Pa","Insufficient",5
21701364,729,0,"Pa","Pa","Co","Pa","Pa","Dairy Rotation",3
21702011,710,0,"Pa","Pa","Al","Al","Pa","Pasture/Hay/Grassland",7
21702012,729,0,"Pa","Pa","Al","Al","Al","Pasture/Hay/Grassland",7
21702013,711,0,"Co","Co","Pa","Al","Al","Dairy Rotation",3
21702014,729,0,"Co","Pa","Pa","Co","Al","Dairy Rotation",3
21702021,719,0,"Pa","Pa","Al","Al","Al","Pasture/Hay/Grassland",7
21702022,702,0,"Pa","Pa","Co","Pa","Pa","Dairy Rotation",3
21702023,717,0,"Pa","Pa","Al","Al","Al","Pasture/Hay/Grassland",7
21702024,720,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21702031,739,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702033,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702034,741,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702101,704,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702102,727,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702103,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702104,681,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702111,729,0,"Pa","Co","Co","Co","Co","Dairy Rotation",3
21702112,729,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21702113,702,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21702114,696,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21702121,729,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21702122,702,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21702123,692,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702124,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702131,702,0,"Al","Pa","Al","Co","Co","Dairy Rotation",3
21702132,719,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702133,729,0,"So","Co","Co","Co","Co","Cash Grain",1
21702134,729,0,"So","Co","Co","Co","Co","Cash Grain",1
21702141,702,0,"Pa","So","Co","Co","So","Cash Grain",1
21702142,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702143,736,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702144,702,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21702151,723,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702152,721,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702153,682,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702154,702,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702221,676,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702222,696,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702223,709,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702224,702,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702231,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702232,722,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702233,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702234,694,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702241,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21702242,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702243,702,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702244,728,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21702251,690,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21702252,717,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21702253,729,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702254,723,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702261,709,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702262,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702263,722,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702264,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702271,676,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702272,717,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702274,676,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702351,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702352,709,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21702353,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702354,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702361,729,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21702362,703,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21702363,728,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21702364,679,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21801011,738,0,"Co","So","So","Co","So","Cash Grain",1
21801012,723,0,"Co","So","So","Co","So","Cash Grain",1
21801013,729,0,"","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21801014,726,0,"Pa","So","Pa","Pa","Pa","Insufficient",5
21801021,748,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21801022,716,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21801023,730,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21801024,729,0,"Pa","Pa","Pa","Ot","Pa","Pasture/Hay/Grassland",7
21801031,699,0,"Pa","Al","Co","Co","Co","Dairy Rotation",3
21801032,679,0,"Pa","Co","Co","So","Co","Cash Grain",1
21801033,712,0,"Pa","Pa","Pa","So","Co","Cash Grain",1
21801034,728,0,"Pa","Pa","Co","Co","So","Cash Grain",1
21801041,702,0,"Pa","So","So","Co","So","Cash Grain",1
21801042,693,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21801043,720,0,"So","So","Co","Co","Co","Cash Grain",1
21801044,719,0,"Pa","Pa","Pa","Pa","Al","Pasture/Hay/Grassland",7
21801051,684,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21801052,702,0,"Co","Co","So","Co","Co","Cash Grain",1
21801053,729,0,"So","Co","So","Co","So","Cash Grain",1
21801054,696,0,"Pa","Co","Co","Co","Co","Dairy Rotation",3
21801061,727,0,"Co","Pa","Co","Al","Al","Dairy Rotation",3
21801062,540,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21801063,540,0,"So","Co","So","Co","Co","Cash Grain",1
21801064,718,0,"Co","So","Co","Co","Co","Cash Grain",1
21801071,720,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21801072,540,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21801073,549,0,"Pa","Pa","Co","Co","Al","Dairy Rotation",3
21801074,724,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21801081,689,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21801082,729,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
